"down","distance","test","playtype"
"NR35Kick","off、#3鈴木健太キック…BB14,#35GamboaHerbert17yリターン(#1藤本遼)"
"1","10","BB31RPASS#3KevinCraftパス失敗"
"2","10","BB31RPASS、#3KevinCraft一#85鈴木隆中11yパスP1"
"1","10","BB42LPASS#3KevinCraft一#14遠藤健史7yパス"
"2","3","BB49RPASS、#3KevinCraft一#85鈴木隆貴10yパスP2"
"1","10","NR41LRUN#7山中大輔3ッヶラン(#5田中喜貴)"
"2","7","NR38LPASS、#3KevinCraft一#40JohnStanton","2yパス(#18増山純季)"
"3","9","NR40RRUN#32元山伊織5yラン"
"4","4","NR35MPASS、#3KevinCraft一#82白根混12yパス(#3佐久間徹)P3"
"1","10","NR23RPASS、#3KevinCraftパス失敗","NoPlay"
"+PenaltyNRオフサイド5y久退"
"1","5","NR18RRUN#32元山伊織","1yラン(#5田中豆貴)"
"2","6","NR19RPASS#3KevinCraftパス失敗"
"3","6","NR19RPASS#3KevinCraftパス失敗"
"4","6","NR19RPASS#3KevinCraftパス失敗"
"1","10","NR19LRUN#6KURTPALANDECH8yラン"
"2","2","NR27LRUN#20DERECKAKIRAWILLIAMS0yラン(#9植村佳史)"
"3","2","NR27LRUN#20DERECKAKIRAWILLIAMS0yラン"
"4","2","NR27MPUNT結3鈴木健太パント…BB23,#35鈴木隆貴10yリターン(#3佐久間徹)"
"1","10","BB33RPASS#3KevinCraftパス失敗"
"2","10","BB33RRUN#47山中大輔1ラン(#44小宮洋平,#56浦野雄大)"
"3","9","BB34MPASS、#3KevinCraft一#87松岡直希34yパス(#33山口遇一郎)P4"
"1","10","NR32RPASS、#3KevinCraft一#82白根混19yパス(#3佐久間徹)P5"
"1","10","NR13MRUN#32元山伊織","3yラン(#5田中喜貴)"
"2","13","NR16LRUN#3KevinCraftQBサック","5yロス(#93池田貴士)"
"3","18","NR21LPASS#3KevinCraftパス失敗"
"4","18","NR21LFG#19佐藤太希39yットライ(H/#7馬島臨太郎))GOOD"
"BB35Kick","off、#19佐藤太希キック…NR16,#3佐久間徹14yリターン"
"1","10","NR30MRUN#20DERECKAKIRAWILLIAMS4yラン"
"2","6","NR34RPASS#6KURTPALANDECHパス失敗"
"3","6","NR34RPASS#6KURTPALANDECH一#15出島崇秀10yパス(#29米田亮太)P1"
"1","10","NR44RRUN#20DERECKAKIRAWILLIAMS","2yラン(57寺林細,#35GamboaHerbert)"
